scenario,fold_start,fold_end,fold_sharpe
optimistic,2019-10-01,2020-01-01,0.0
optimistic,2020-01-01,2020-04-01,2.473
optimistic,2020-04-01,2020-07-01,4.029
optimistic,2020-07-01,2020-10-01,1.646
optimistic,2020-10-01,2021-01-01,6.656
optimistic,2021-01-01,2021-04-01,3.965
optimistic,2021-04-01,2021-07-01,6.904
optimistic,2021-07-01,2021-10-01,8.743
optimistic,2021-10-01,2022-01-01,5.07
optimistic,2022-01-01,2022-04-01,6.714
optimistic,2022-04-01,2022-07-01,9.092
optimistic,2022-07-01,2022-10-01,10.567
optimistic,2022-10-01,2023-01-01,8.869
optimistic,2023-01-01,2023-04-01,7.142
optimistic,2023-04-01,2023-07-01,4.474
optimistic,2023-07-01,2023-10-01,7.612
optimistic,2023-10-01,2024-01-01,6.774
optimistic,2024-01-01,2024-04-01,1.655
optimistic,2024-04-01,2024-07-01,8.786
optimistic,2024-07-01,2024-10-01,7.679
optimistic,2024-10-01,2025-01-01,5.624
optimistic,2025-01-01,2025-04-01,5.728
optimistic,2025-04-01,2025-07-01,5.863
optimistic,2025-07-01,2025-10-01,5.23
optimistic,2025-10-02,2026-01-02,5.302
optimistic,2026-01-02,2026-04-02,5.782
optimistic,2026-04-02,2026-05-05,6.753
realistic,2019-10-01,2020-01-01,0.0
realistic,2020-01-01,2020-04-01,2.349
realistic,2020-04-01,2020-07-01,4.025
realistic,2020-07-01,2020-10-01,1.646
realistic,2020-10-01,2021-01-01,6.231
realistic,2021-01-01,2021-04-01,3.724
realistic,2021-04-01,2021-07-01,6.612
realistic,2021-07-01,2021-10-01,7.716
realistic,2021-10-01,2022-01-01,1.348
realistic,2022-01-01,2022-04-01,4.017
realistic,2022-04-01,2022-07-01,8.561
realistic,2022-07-01,2022-10-01,8.778
realistic,2022-10-01,2023-01-01,7.768
realistic,2023-01-01,2023-04-01,7.11
realistic,2023-04-01,2023-07-01,4.46
realistic,2023-07-01,2023-10-01,7.488
realistic,2023-10-01,2024-01-01,6.734
realistic,2024-01-01,2024-04-01,1.655
realistic,2024-04-01,2024-07-01,8.777
realistic,2024-07-01,2024-10-01,7.429
realistic,2024-10-01,2025-01-01,5.357
realistic,2025-01-01,2025-04-01,5.392
realistic,2025-04-01,2025-07-01,5.18
realistic,2025-07-01,2025-10-01,4.698
realistic,2025-10-02,2026-01-02,5.3
realistic,2026-01-02,2026-04-02,5.628
realistic,2026-04-02,2026-05-05,6.577
pessimistic,2019-10-01,2020-01-01,0.0
pessimistic,2020-01-01,2020-04-01,2.172
pessimistic,2020-04-01,2020-07-01,4.005
pessimistic,2020-07-01,2020-10-01,1.646
pessimistic,2020-10-01,2021-01-01,5.614
pessimistic,2021-01-01,2021-04-01,3.395
pessimistic,2021-04-01,2021-07-01,6.25
pessimistic,2021-07-01,2021-10-01,6.459
pessimistic,2021-10-01,2022-01-01,-1.854
pessimistic,2022-01-01,2022-04-01,1.468
pessimistic,2022-04-01,2022-07-01,7.84
pessimistic,2022-07-01,2022-10-01,6.835
pessimistic,2022-10-01,2023-01-01,6.445
pessimistic,2023-01-01,2023-04-01,7.058
pessimistic,2023-04-01,2023-07-01,4.442
pessimistic,2023-07-01,2023-10-01,7.322
pessimistic,2023-10-01,2024-01-01,6.674
pessimistic,2024-01-01,2024-04-01,1.655
pessimistic,2024-04-01,2024-07-01,8.759
pessimistic,2024-07-01,2024-10-01,7.101
pessimistic,2024-10-01,2025-01-01,5.004
pessimistic,2025-01-01,2025-04-01,4.974
pessimistic,2025-04-01,2025-07-01,4.378
pessimistic,2025-07-01,2025-10-01,4.082
pessimistic,2025-10-02,2026-01-02,5.178
pessimistic,2026-01-02,2026-04-02,5.399
pessimistic,2026-04-02,2026-05-05,6.293
