scenario,year,pnl_eur_per_mwh
optimistic,2019,0.0
optimistic,2020,1030.79
optimistic,2021,5072.83
optimistic,2022,16656.68
optimistic,2023,5518.17
optimistic,2024,5015.07
optimistic,2025,4601.45
optimistic,2026,1418.79
realistic,2019,0.0
realistic,2020,896.33
realistic,2021,3066.26
realistic,2022,13309.38
realistic,2023,4970.48
realistic,2024,4420.77
realistic,2025,3942.36
realistic,2026,1243.53
pessimistic,2019,0.0
pessimistic,2020,761.87
pessimistic,2021,1059.69
pessimistic,2022,9962.08
pessimistic,2023,4422.8
pessimistic,2024,3826.48
pessimistic,2025,3283.26
pessimistic,2026,1068.28
