scenario,year,pnl_eur_per_mwh
optimistic,2018,2299.7
optimistic,2019,1242.5
optimistic,2020,3143.5
optimistic,2021,8630.3
optimistic,2022,12648.7
optimistic,2023,6647.2
optimistic,2024,3473.4
optimistic,2025,3243.6
optimistic,2026,2317.4
realistic,2018,1931.4
realistic,2019,-391.0
realistic,2020,1516.0
realistic,2021,6462.2
realistic,2022,10480.6
realistic,2023,4479.1
realistic,2024,1341.0
realistic,2025,1075.5
realistic,2026,1580.9
pessimistic,2018,1559.4
pessimistic,2019,-2041.0
pessimistic,2020,-128.1
pessimistic,2021,4272.2
pessimistic,2022,8290.6
pessimistic,2023,2289.1
pessimistic,2024,-813.0
pessimistic,2025,-1114.5
pessimistic,2026,836.9
