strategy,year,revenue_eur
naive,2018,275581.6510524657
naive,2019,970638.9000000003
naive,2020,1162489.7000000002
naive,2021,3140023.000000001
naive,2022,8250138.6000000015
naive,2023,3952923.900000001
naive,2024,4440994.000000001
naive,2025,5530749.300000001
naive,2026,2048486.7000000002
da_lp,2018,402783.53553364327
da_lp,2019,1060505.2881608368
da_lp,2020,1351117.2778707156
da_lp,2021,3985626.7417450245
da_lp,2022,9883284.405572979
da_lp,2023,4807388.108119965
da_lp,2024,5278906.765151568
da_lp,2025,6579845.587734565
da_lp,2026,2370233.880896758
da_plus_tilt,2018,394541.61212727684
da_plus_tilt,2019,1033351.0766467118
da_plus_tilt,2020,1328695.7725395798
da_plus_tilt,2021,3981159.8360726605
da_plus_tilt,2022,9874113.94302368
da_plus_tilt,2023,4830917.116039418
da_plus_tilt,2024,5271945.3907151
da_plus_tilt,2025,6591258.003645802
da_plus_tilt,2026,2366302.577489479
perfect_foresight,2018,891835.8333324017
perfect_foresight,2019,1596014.5200843615
perfect_foresight,2020,1690549.2932190318
perfect_foresight,2021,4847979.577436451
perfect_foresight,2022,11765247.007850943
perfect_foresight,2023,5541116.384988119
perfect_foresight,2024,5894389.942902206
perfect_foresight,2025,7136978.59756369
perfect_foresight,2026,2506719.7876593233
