hour,charge_mwh,discharge_mwh,net_dispatch_mwh,strategy
0,8.340975331542317,0.22555034283652114,-8.115424988705795,naive
1,17.454324563362157,0.025261638397690373,-17.429062924964466,naive
2,21.20722366079815,0.0,-21.20722366079815,naive
3,10.226659409518772,0.0,-10.226659409518772,naive
4,1.7880452790634123,0.35141890230664585,-1.4366263767567664,naive
5,1.3486201405489664,4.460969085122753,3.112348944573786,naive
6,0.35534185820760766,8.631781989395503,8.276440131187895,naive
7,0.03608805485384338,6.707276556184723,6.67118850133088,naive
8,0.23511655520059246,2.02414611745167,1.7890295622510777,naive
9,0.5474306957122541,0.6450969168471422,0.0976662211348881,naive
10,3.5388601381254268,0.5587054014570816,-2.980154736668345,naive
11,23.72732036364097,0.24517895674697143,-23.482141406893998,naive
12,29.81554476418157,0.13871919492813342,-29.676825569253438,naive
13,11.345227206448916,0.12789277847198044,-11.217334427976935,naive
14,1.6611389205780165,0.5334437630593912,-1.1276951575186254,naive
15,0.0,2.8392506519608194,2.8392506519608194,naive
16,0.0,19.725914273788323,19.725914273788323,naive
17,0.0,45.310093445583895,45.310093445583895,naive
18,0.03608805485384338,34.60128427639156,34.56519622153772,naive
19,0.14435221941537352,10.648678943838652,10.504326724423278,naive
20,0.3247924936845904,3.5943339378611716,3.269541444176581,naive
21,1.5156983038614218,0.4838456239700485,-1.0318526798913732,naive
22,13.713460844460483,0.32549781513146475,-13.387963029329018,naive
23,20.028870443883076,0.11143333752858733,-19.917437106354487,naive
0,26.67405346810865,0.38970511975212485,-26.284348348356524,da_lp
1,47.572936611182286,0.172956974369901,-47.39997963681238,da_lp
2,49.473616491814035,0.05862015280280367,-49.41499633901123,da_lp
3,24.414891320860217,0.110728016081713,-24.304163304778506,da_lp
4,6.292188904533958,3.169116151012292,-3.1230727535216665,da_lp
5,3.7419296524670047,23.49912881515967,19.757199162692665,da_lp
6,1.0455731291529042,32.66715198568267,31.62157885652977,da_lp
7,0.1419707852955432,21.578393673161813,21.436422887866268,da_lp
8,0.5710403973931686,7.340979353136988,6.76993895574382,da_lp
9,2.1647660765031587,1.6884813346415428,-0.47628474186161585,da_lp
10,10.8259554007653,2.4162233433852105,-8.40973205738009,da_lp
11,39.5567650051925,0.9247334692950447,-38.63203153589746,da_lp
12,52.557234939206765,0.3029198445131208,-52.254315094693645,da_lp
13,27.66848315597211,1.322929224903536,-26.345553931068572,da_lp
14,6.883250004626376,1.0461598309125144,-5.837090173713862,da_lp
15,0.8233981740063504,3.6252381478338562,2.801839973827506,da_lp
16,0.0,26.79166480951783,26.79166480951783,da_lp
17,0.006109872904603451,61.554429742133394,61.54831986922879,da_lp
18,0.03608805485384338,48.61122905254331,48.575140997689466,da_lp
19,0.24541811377107908,14.488577913977375,14.243159800206296,da_lp
20,0.6726774743226517,4.819926707085852,4.1472492327632,da_lp
21,0.25577364018789944,1.0925887970348003,0.8368151568469009,da_lp
22,1.6127771520686325,0.46329187235356023,-1.1494852797150723,da_lp
23,1.7683146878383256,1.1525278473925853,-0.6157868404457403,da_lp
0,26.140232258848933,0.4821692921477526,-25.65806296670118,da_plus_tilt
1,46.75860092677414,0.24852207330380857,-46.51007885347033,da_plus_tilt
2,48.449228894243824,0.08366197494133047,-48.365566919302495,da_plus_tilt
3,25.420173477625447,0.07463996122786962,-25.345533516397577,da_plus_tilt
4,7.014941695087325,3.013763571550985,-4.00117812353634,da_plus_tilt
