horizon_h,irf,lower_5,upper_95
0,0.09773894508184727,-0.5036809681356663,0.6719256730100234
1,0.3980047544825291,-0.5771269471652153,1.3998324249696212
2,0.7490999171801929,-0.32568299251274635,1.886000328284716
3,0.9214337042768243,-0.18232387182562076,1.975864573494082
4,0.5744939428872241,-0.7168310358863076,1.7177531869620168
5,0.03635491005270672,-1.2660241561894525,1.1640736275813255
6,-0.3579887917367475,-1.7613655019457601,0.813443774008311
7,-0.6431233879782332,-2.0886968174530756,0.5802663956561415
8,-0.8366234404252103,-2.2145336931643502,0.5017235740991073
9,-1.0144831347188348,-2.371869670303147,0.4391251899660778
10,-1.1751530376371722,-2.3899359952937407,0.31988377499309256
11,-1.2583785109009873,-2.5447952897753243,0.07325761422050774
12,-1.1564369464614759,-2.618020387982256,0.311336876522434
13,-1.0154922863272053,-2.347058858665392,0.16576812538672084
14,-0.7617725083359226,-1.983234920174168,0.6242807143907892
15,-0.625900986427318,-1.8019929644359118,0.7574548517245049
16,-0.4958963091098643,-1.6671061702845082,0.8474283729312042
17,-0.7099057430387831,-1.7655596321175253,0.7273122526175847
18,-0.8561857711970375,-2.0558526793489817,0.7556328120760648
19,-0.8621856851681573,-2.0821138623032387,0.6977128706612985
20,-0.7886870698533645,-2.133134357518649,0.804268927126764
21,-0.627028609603454,-1.8780246422139844,0.8044862492868375
22,-0.6351399005044226,-1.8092717975806183,0.7625785883396404
23,-0.7867044170099257,-1.9847178555381477,0.6092834743020511
24,-0.7083694811437504,-1.9315628895568584,0.6115340967766038
